Investing Report Created: 2023-06-17 07:27:43 -0400
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
x,,"6/30/2015","Buy","Home Depot","HD","Home Depot","12.209019 shares @ 94.46049679","12.209019","1,153.27","-1,153.27","HD ESPP"
﻿,,"9/18/2015","Reinvest Dividend","Home Depot","HD","Home Depot","0.059513 shares @ 120.98197033","0.059513","7.20","0.00","HD ESPP"
﻿,,"12/18/2015","Reinvest Dividend","Home Depot","HD","Home Depot","0.053187 shares @ 136.12348882","0.053187","7.24","0.00","HD ESPP"
﻿,,"12/31/2015","Buy","Home Depot","HD","Home Depot","15.656622 shares @ 112.41249869","15.656622","1,760.00","-1,760.00","HD ESPP"
﻿,,"3/28/2016","Reinvest Dividend","Home Depot","HD","Home Depot","0.141049 shares @ 136.90277847","0.141049","19.31","0.00","HD ESPP"
﻿,,"6/17/2016","Reinvest Dividend","Home Depot","HD","Home Depot","0.146165 shares @ 132.72671296","0.146165","19.40","0.00","HD ESPP"
﻿,,"7/5/2016","Buy","Home Depot","HD","Home Depot","21.96708 shares @ 108.53650098","21.96708","2,384.23","-2,384.23","HD ESPP"
﻿,,"9/16/2016","Reinvest Dividend","Home Depot","HD","Home Depot","0.263752 shares @ 131.41132579","0.263752","34.66","0.00","HD ESPP"
﻿,,"12/16/2016","Reinvest Dividend","Home Depot","HD","Home Depot","0.246519 shares @ 135.68933835","0.246519","34.84","0.00","HD ESPP"
﻿,,"12/30/2016","Buy","Home Depot","HD","Home Depot","26.55 shares @ 113.96911488","26.55","3,025.88","-3,025.88","HD ESPP"
﻿,,"1/13/2017","Sell","Home Depot","HD","Home Depot","76.382706 shares @ 136.20884288","-76.382706","-10,404.00","10,404.00","HD ESPP"
﻿,,"6/30/2017","Buy","Home Depot","HD","Home Depot","23.198558 shares @ 130.39000096","23.198558","3,024.86","-3,024.86","HD ESPP"
﻿,,"7/31/2017","Sell","Home Depot","HD","Home Depot","23.198588 shares @ 149.95481622","-23.198588","-3,433.39","3,433.39","HD ESPP"
﻿,,"12/29/2017","Buy","Home Depot","HD","Home Depot","19.137495 shares @ 163.47437321","19.137495","3,128.49","-3,128.49","HD ESPP"
﻿,,"3/23/2018","Add Shares","Home Depot","HD","Home Depot","44 shares @ 116.197183","44","5,112.68","0.00","HD ML Individual Account"
﻿,,"5/4/2018","Sell","Home Depot","HD","Home Depot","19.137465 shares @ 184.35670555","-19.137465","-3,528.12","3,528.12","HD ESPP"
﻿,,"6/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
﻿,,"6/30/2018","Buy","Home Depot","HD","Home Depot","18.796635 shares @ 165.66848268","18.796635","3,114.01","-3,114.01","HD ESPP"
﻿,,"7/17/2018","Sell","Home Depot","HD","Home Depot","18.796635 shares @ 200.13848223","-18.796635","-3,716.93","3,716.93","HD ESPP"
﻿,,"9/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
﻿,,"12/13/2018","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"45.32","HD ML Individual Account"
﻿,,"12/31/2018","Buy","Home Depot","HD","Home Depot","25.966435 shares @ 146.0470026","25.966435","3,792.32","-3,792.32","HD ESPP"
﻿,,"3/22/2019","Add Shares","Home Depot","HD","Home Depot","42 shares @ 130.434783","42","5,478.26","0.00","HD ML Individual Account"
﻿,,"3/24/2019","Add Shares","Home Depot","HD","Home Depot","45 shares @ 130.434783","45","5,869.57","0.00","HD ML Individual Account"
﻿,,"3/29/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.177356 shares @ 199.09109362","0.177356","35.31","0.00","HD ESPP"
﻿,,"4/4/2019","Sell","Home Depot","HD","Home Depot","131 shares @ 200.00","-131","-26,190.38","26,190.38","HD ML Individual Account"
﻿,,"6/12/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.162637 shares @ 218.64643347","0.162637","35.56","0.00","HD ESPP"
﻿,,"6/28/2019","Buy","Home Depot","HD","Home Depot","22.6468 shares @ 176.77508522","22.6468","4,003.39","-4,003.39","HD ESPP"
﻿,,"9/20/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.280605 shares @ 237.27303505","0.280605","66.58","0.00","HD ESPP"
﻿,,"11/20/2019","Sell","Home Depot","HD","Home Depot","50.144033 shares @ 219.565307","-50.144033","-11,009.89","11,009.89","HD ESPP"
﻿,,"12/31/2019","Buy","Home Depot","HD","Home Depot","29.175156 shares @ 185.62300061","29.175156","5,415.58","-5,415.58","HD ESPP"
﻿,,"3/12/2020","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"43.76","HD ESPP"
﻿,,"3/23/2020","Add Shares","Home Depot","HD","Home Depot","37 shares @ 147.727273","37","5,465.91","0.00","HD ML Individual Account"
﻿,,"3/23/2020","Add Shares","Home Depot","HD","Home Depot","44 shares @ 147.727273","44","6,500.00","0.00","HD ML Individual Account"
﻿,,"3/27/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.219727 shares @ 199.11071466","0.219727","43.75","0.00","HD ESPP"
﻿,,"4/29/2020","Sell","Home Depot","HD","Home Depot","37 shares @ 222.22594595","-37","-8,222.36","8,222.36","HD ML Individual Account"
﻿,,"6/1/2020","Sell","Home Depot","HD","Home Depot","44 shares @ 248.59886364","-44","-10,938.35","10,938.35","HD ML Individual Account"
﻿,,"6/3/2020","Sell","Home Depot","HD","Home Depot","29.394883 shares @ 250.67151994","-29.394883","-7,368.46","7,368.46","HD ESPP"
﻿,,"6/19/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.167032 shares @ 263.96139662","0.167032","44.09","0.00","HD ESPP"
﻿,,"6/30/2020","Buy","Home Depot","HD","Home Depot","28.781756 shares @ 214.28713384","28.781756","6,167.56","-6,167.56","HD ESPP"
﻿,,"9/22/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.149299 shares @ 290.82579254","0.149299","43.42","0.00","HD ESPP"
﻿,,"12/18/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.152318 shares @ 285.06151604","0.152318","43.42","0.00","HD ESPP"
﻿,,"12/28/2020","Add Shares","Home Depot","HD","Home Depot","8 shares @ 147.72727275","8","1,181.82","0.00","HD ML Individual Account"
﻿,,"12/28/2020","Add Shares","Home Depot","HD","Home Depot","79 shares @ 189.87341772","79","15,000.00","0.00","HD ML Individual Account"
﻿,,"12/28/2020","Add Shares","Home Depot","HD","Home Depot","13.42 shares @ 181.818182","13.42","2,440.00","0.00","HD ML Individual Account"
﻿,,"12/28/2020","Add Shares","Home Depot","HD","Home Depot","117.58 shares @ 178.60180303","117.58","21,000.00","0.00","HD ML Individual Account"
﻿,,"12/31/2020","Buy","Home Depot","HD","Home Depot","34.618407 shares @ 225.83014868","34.618407","7,817.88","-7,817.88","HD ESPP"
﻿,,"3/26/2021","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"419.54","HD ML Individual Account"
﻿,,"3/26/2021","Reinvest Dividend","Home Depot","HD","Home Depot","0.340624 shares @ 297.63023157","0.340624","105.38","0.00","HD ESPP"
﻿,,"3/26/2021","Add Shares","Home Depot","HD","Home Depot","44 shares @ 292.90431818","44","12,887.79","0.00","HD ML Individual Account"
﻿,,"6/22/2021","Reinvest Dividend","Home Depot","HD","Home Depot","0.339556 shares @ 300.24502586","0.339556","105.95","0.00","HD ESPP"
﻿,,"6/23/2021","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"432.30","HD ML Individual Account"
﻿,,"6/30/2021","Buy","Home Depot","HD","Home Depot","27.835599 shares @ 271.05649855","27.835599","7,545.02","-7,545.02","HD ESPP"
﻿,,"9/17/2021","Reinvest Dividend","Home Depot","HD","Home Depot","0.440283 shares @ 346.20914276","0.440283","156.43","0.00","HD ESPP"
﻿,,"9/23/2021","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"432.30","HD ML Individual Account"
﻿,,"9/23/2021","Sell","Home Depot","HD","Home Depot","165 shares @ 337.34618182","-165","-55,661.84","55,661.84","HD ML Individual Account"
﻿,,"12/17/2021","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"160.05","HD ML Individual Account"
﻿,,"12/17/2021","Reinvest Dividend","Home Depot","HD","Home Depot","0.375411 shares @ 407.97952111","0.375411","157.16","0.00","HD ESPP"
﻿,,"12/31/2021","Buy","Home Depot","HD","Home Depot","25.08121 shares @ 352.75849929","25.08121","8,847.61","-8,847.61","HD ESPP"
﻿,,"3/23/2022","Add Shares","Home Depot","HD","Home Depot","33 shares @ 325.00","33","10,725.00","0.00","HD ML Individual Account"
﻿,,"3/24/2022","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"184.30","HD ML Individual Account"
﻿,,"3/24/2022","Reinvest Dividend","Home Depot","HD","Home Depot","0.723 shares @ 310.82987552","0.723","224.73","0.00","HD ESPP"
﻿,,"6/17/2022","Reinvest Dividend","Home Depot","HD","Home Depot","0.808183 shares @ 279.70150325","0.808183","226.05","0.00","HD ESPP"
﻿,,"6/17/2022","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"247.00","HD ML Individual Account"
﻿,,"6/30/2022","Buy","Home Depot","HD","Home Depot","33.220463 shares @ 233.12950214","33.220463","7,744.67","-7,744.67","HD ESPP"
﻿,,"9/23/2022","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"247.00","HD ML Individual Account"
﻿,,"9/24/2022","Reinvest Dividend","Home Depot","HD","Home Depot","1.054753 shares @ 275.61903119","1.054753","290.71","0.00","HD ESPP"
﻿,,"12/15/2022","Reinvest Dividend","Home Depot","HD","Home Depot","0.878787 shares @ 333.08412619","0.878787","292.71","0.00","HD ESPP"
﻿,,"12/16/2022","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"247.00","HD ML Individual Account"
