Name,Symbol
PHILIP MORRIS CO INC,PM
CSX Corp,CSX
3M Corp,MMM
Microsoft Corp,MSFT
MMDA1,MMDA1
PM,PM
Mondelez International Inc,MDLZ
Starbucks,SBUX
Janus Twenty,DEAD
Western Wireless,DEAD
Voice Stream,DEAD
OmniPoint,DEAD
Union Pacific Railroad,UNP
HNC Software,DEAD
Altria Group,MO
PowerTel,DEAD
Air Tran,DEAD
Sun Microsystems,SUN
Oracle,ORCL
AT&T,T
"Rail America, Inc",RAIL
BreezeComm,DEAD
604675983,DEAD
RARE MEDIUM GRP,RARE
RETK,DEAD
ALVARION LTD,DEAD
MIRANT CORP,DEAD
SOUTHERN CO,SO
Allied Capital,DEAD
Honda Motor Company,DEAD
AMERICAN MORTGAGE ACCEP CO,AMC
AMR,AMR
Honda Moter Company,DEAD
MIRANT CORPORATION,DEAD
Foriegn Tax on HMC,DEAD
MIRANT CORP ESCROW SHARES,DEAD
BRT RLTY TR SH BEN INT NEW,BRT
KRAFT FOODS INC CL A,DEAD
REYNOLDS AMERICAN INC COM,BTI
9ZZZTD109,DEAD
PROCTER & GAMBLE CO COM,PG
JOHNSON & JOHNSON COM,JNJ
BRISTOL MYERS SQUIBB CO COM,BMY
Coca-Cola Co,KO
Coke,KO
CDC CORP SHS A,CDC
Fidelity Countra Fund K,FCNTX
NB Genesis Trust,NBGEX
CDC CORPORATION SHS A NEW,CDC
ANNALY CAP MGMT INC COM,NLY
Fidelity Countra Fund,FCNTX
GENERAL ELECTRIC CO,GE
FIDELITY CASH RESERVES,FCASH
AT&T (T),T
WINDSTREAM CORP COM,DEAD
TRANSALTA CORP MTN COM NPV ISIN #CA89346D1078 SEDOL #2901628,DEAD
3M Corp (MMM),MMM
Norfolk Southern,NSC
MAIN STR CAP CORP COM,MAIN
PEPSICO INC,PEP
PROSPECT CAPITAL CORPORATION COM,PSEC
ANNIES INC COM,DEAD
INTEL CORP COM,INTC
LORILLARD INC COM,DEAD
CENTURYLINK INC COM,CTL
GOLUB CAP BDC INC COM,GBDC
International,HDINT
Large Cap Index,HDLCAP
LifePath 2030 Portfolio,HD2030
PFIZER INC COM,PFE
EMERSON ELEC CO COM,EMR
SEAGATE TECHNOLOGY PLC SHS,STX
APPLE INC COM,AAPL
WELLS FARGO & CO NEW COM,WFC
CISCO SYS INC COM,CSCO
NESTLE SA REG SHARES S (PC),NSRGY
Chatham Lodging Trust (REIT) Common Shar,CLDT
"British American Tobacco Industries, p.",BTI
FIDELITY TOTAL BOND,FTBFX
FIDELITY INVESTMENT GRADE,FBNDX
FIDELITY CAPITAL & INCOME,FAGIX
USAA Mutual Fds Tr Income Fund,USAIX
"General Mills, Inc. Common Stock",GIS
International Business Machines Corporat,IBM
Small-Mid Cap Growth,HDSCG
Small-Mid Cap Value,HDSCV
Large Cap Growth,HDLCG
Balanced,HDBAL
Small Cap Growth,HDSCG
Mid Cap Value,HDMCV
International Equity Index,HDIEI
Small-Mid Cap Index,HDMCI
Energy Transfer LP Common Units,ET
SSGA S&P 500 Index Fd,SVSPX
STATE STREET S&P 500 INDEX N,SVSPX
Fidelity Countra Fund K,DEAD
