Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"3/11/1999","Payment/Deposit","",,,"Transfer",,,"18,067.76","z Ameritrade IRA"
﻿,,"3/17/1999","Buy","CSX Corp","CSX","CSX Corp","50 shares @ 39.00","50","1,963.00","-1,963.00","z Ameritrade IRA"
﻿,,"3/19/1999","Buy","3M Corp","MMM","3M Corp","50 shares @ 72.00","50","3,613.00","-3,613.00","z Ameritrade IRA"
﻿,,"3/19/1999","Buy","Microsoft Corp","MSFT","Microsoft Corp","10 shares @ 169.938","10","1,712.38","-1,712.38","z Ameritrade IRA"
﻿,,"3/24/1999","Buy","Microsoft Corp","MSFT","Microsoft Corp","10 shares @ 164.00","10","1,653.00","-1,653.00","z Ameritrade IRA"
﻿,,"3/29/1999","Payment/Deposit","",,,"Transfer",,,"18.03","z Ameritrade IRA"
﻿,,"3/29/1999","Stock Split","Microsoft Corp","MSFT","Microsoft Corp","2 for 1 split","20",,"0.00","z Ameritrade IRA"
﻿,,"3/30/1999","Buy","Janus Twenty","JAVLX","Janus Twenty","46.332 shares @ 64.75006475","46.332","3,018.00","-3,018.00","z Ameritrade IRA"
﻿,,"4/5/1999","Buy","Western Wireless","WWCA","Western Wireless","50 shares @ 37.625","50","1,889.25","-1,889.25","z Ameritrade IRA"
﻿,,"5/3/1999","Payment/Deposit","",,,"Transfer",,,"12.56","z Ameritrade IRA"
﻿,,"5/3/1999","Add Shares","Voice Stream","VSTR","Voice Stream","50 shares","50",,"0.00","z Ameritrade IRA"
﻿,,"5/14/1999","Buy","OmniPoint","OMPT","OmniPoint","50 shares @ 17.6876","50","892.38","-892.38","z Ameritrade IRA"
﻿,,"6/1/1999","Payment/Deposit","",,,"Transfer",,,"7.54","z Ameritrade IRA"
﻿,,"6/14/1999","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"28.00","z Ameritrade IRA"
﻿,,"6/15/1999","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"15.00","z Ameritrade IRA"
﻿,,"6/28/1999","Payment/Deposit","",,,"Transfer",,,"6.49","z Ameritrade IRA"
﻿,,"7/9/1999","Buy","Starbucks","SBUX","Starbucks","20 shares @ 25.25","20","513.00","-513.00","z Ameritrade IRA"
﻿,,"8/2/1999","Payment/Deposit","",,,"Transfer",,,"7.59","z Ameritrade IRA"
﻿,,"8/30/1999","Payment/Deposit","",,,"Transfer",,,"5.58","z Ameritrade IRA"
﻿,,"9/8/1999","Buy","Union Pacific Railroad","UNP","Union Pacific Railroad","30 shares @ 48.18766667","30","1,453.63","-1,453.63","z Ameritrade IRA"
﻿,,"9/13/1999","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"28.00","z Ameritrade IRA"
﻿,,"9/15/1999","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"15.00","z Ameritrade IRA"
﻿,,"9/27/1999","Payment/Deposit","",,,"Transfer",,,"4.86","z Ameritrade IRA"
﻿,,"10/25/1999","Sell","Microsoft Corp","MSFT","Microsoft Corp","20 shares @ 91.375","-20","-1,819.43","1,819.43","z Ameritrade IRA"
﻿,,"10/26/1999","Buy","PowerTel","PTEL","PowerTel","30 shares @ 68.18766667","30","2,053.63","-2,053.63","z Ameritrade IRA"
﻿,,"11/1/1999","Payment/Deposit","",,,"Transfer",,,"4.10","z Ameritrade IRA"
﻿,,"11/29/1999","Payment/Deposit","",,,"Transfer",,,"2.70","z Ameritrade IRA"
﻿,,"11/30/1999","Buy","Air Tran","AAIR","Air Tran","100 shares @ 4.5938","100","467.38","-467.38","z Ameritrade IRA"
﻿,,"12/6/1999","Buy","HNC Software","HNCS","HNC Software","30 shares @ 86.00","30","2,588.00","-2,588.00","z Ameritrade IRA"
﻿,,"12/6/1999","Sell","OmniPoint","OMPT","OmniPoint","20 shares @ 87.625","-20","-1,744.44","1,744.44","z Ameritrade IRA"
﻿,,"12/6/1999","Sell","Voice Stream","VSTR","Voice Stream","10 shares @ 100.625","-10","-998.21","998.21","z Ameritrade IRA"
﻿,,"12/13/1999","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"28.00","z Ameritrade IRA"
﻿,,"12/14/1999","Add Shares","Janus Twenty","JAVLX","Janus Twenty","2.479 shares","2.479",,"0.00","z Ameritrade IRA"
﻿,,"12/15/1999","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"15.00","z Ameritrade IRA"
﻿,,"1/3/2000","Payment/Deposit","",,,"Transfer",,,"1.88","z Ameritrade IRA"
﻿,,"1/3/2000","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"6.00","z Ameritrade IRA"
﻿,,"1/20/2000","Sell","HNC Software","HNCS","HNC Software","30 shares @ 107.25","-30","-3,209.39","3,209.39","z Ameritrade IRA"
﻿,,"1/24/2000","Buy","Altria Group","MO","Altria Group","100 shares @ 22.0625","100","2,214.25","-2,214.25","z Ameritrade IRA"
﻿,,"1/24/2000","Return of Capital","Altria Group","MO","Altria Group","Investments:Return of Capital",,"-885.70","885.70","z Ameritrade IRA"
﻿,,"1/28/2000","Buy","HNC Software","HNCS","HNC Software","20 shares @ 96.375","20","1,935.50","-1,935.50","z Ameritrade IRA"
﻿,,"1/31/2000","Payment/Deposit","",,,"Transfer",,,"2.78","z Ameritrade IRA"
﻿,,"2/4/2000","Sell","Starbucks","SBUX","Starbucks","20 shares @ 32.5625","-20","-643.22","643.22","z Ameritrade IRA"
﻿,,"2/4/2000","Sell","Western Wireless","WWCA","Western Wireless","50 shares @ 56.25","-50","-2,804.40","2,804.40","z Ameritrade IRA"
﻿,,"2/8/2000","Sell","OmniPoint","OMPT","OmniPoint","30 shares @ 128.625","-30","-3,850.62","3,850.62","z Ameritrade IRA"
﻿,,"2/8/2000","Sell","Voice Stream","VSTR","Voice Stream","40 shares @ 148.1875","-40","-5,919.30","5,919.30","z Ameritrade IRA"
﻿,,"2/9/2000","Buy","Union Pacific Railroad","UNP","Union Pacific Railroad","100 shares @ 39.00","100","3,908.00","-3,908.00","z Ameritrade IRA"
﻿,,"2/9/2000","Buy","Altria Group","MO","Altria Group","100 shares @ 19.8125","100","1,989.25","-1,989.25","z Ameritrade IRA"
﻿,,"2/9/2000","Buy","Air Tran","AAIR","Air Tran","100 shares @ 4.3438","100","442.38","-442.38","z Ameritrade IRA"
﻿,,"2/9/2000","Return of Capital","Altria Group","MO","Altria Group","Investments:Return of Capital",,"-795.70","795.70","z Ameritrade IRA"
﻿,,"2/15/2000","Buy","HNC Software","HNCS","HNC Software","50 shares @ 89.6876","50","4,492.38","-4,492.38","z Ameritrade IRA"
﻿,,"2/28/2000","Payment/Deposit","",,,"Transfer",,,"7.73","z Ameritrade IRA"
﻿,,"3/1/2000","Sell","HNC Software","HNCS","HNC Software","70 shares @ 101.125","-70","-7,070.51","7,070.51","z Ameritrade IRA"
﻿,,"3/13/2000","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"29.00","z Ameritrade IRA"
﻿,,"3/15/2000","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"15.00","z Ameritrade IRA"
﻿,,"3/16/2000","Buy","Sun Microsystems","SUNW","Sun Microsystems","20 shares @ 88.9375","20","1,786.75","-1,786.75","z Ameritrade IRA"
﻿,,"3/16/2000","Buy","Oracle","ORCL","Oracle","20 shares @ 78.6875","20","1,581.75","-1,581.75","z Ameritrade IRA"
﻿,,"3/16/2000","Buy","AT&T","T","AT&T","50 shares @ 51.9376","50","2,604.88","-2,604.88","z Ameritrade IRA"
﻿,,"3/21/2000","Buy","HNC Software","HNCS","HNC Software","50 shares @ 86.00","50","4,308.00","-4,308.00","z Ameritrade IRA"
﻿,,"3/21/2000","Sell","PowerTel","PTEL","PowerTel","30 shares @ 71.625","-30","-2,140.67","2,140.67","z Ameritrade IRA"
﻿,,"3/24/2000","Buy","Rail America, Inc","RAIL","Rail America, Inc","100 shares @ 6.9688","100","704.88","-704.88","z Ameritrade IRA"
﻿,,"4/3/2000","Payment/Deposit","",,,"Transfer",,,"13.85","z Ameritrade IRA"
﻿,,"4/3/2000","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"26.00","z Ameritrade IRA"
﻿,,"4/7/2000","Buy","BreezeComm","BRZE","BreezeComm","100 shares @ 31.625","100","3,170.50","-3,170.50","z Ameritrade IRA"
﻿,,"4/7/2000","Sell","Oracle","ORCL","Oracle","20 shares @ 84.75","-20","-1,686.94","1,686.94","z Ameritrade IRA"
﻿,,"4/7/2000","Sell","Sun Microsystems","SUNW","Sun Microsystems","20 shares @ 94.75","-20","-1,886.93","1,886.93","z Ameritrade IRA"
﻿,,"4/10/2000","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"96.00","z Ameritrade IRA"
﻿,,"5/1/2000","Payment/Deposit","",,,"Transfer",,,"1.64","z Ameritrade IRA"
﻿,,"5/1/2000","Dividend Income","AT&T","T","AT&T","Investments:Dividend Income",,,"11.00","z Ameritrade IRA"
﻿,,"5/30/2000","Payment/Deposit","",,,"Transfer",,,"2.73","z Ameritrade IRA"
﻿,,"6/12/2000","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"29.00","z Ameritrade IRA"
﻿,,"6/15/2000","Buy","Voice Stream","VSTR","Voice Stream","10 shares @ 127.00","10","1,278.00","-1,278.00","z Ameritrade IRA"
﻿,,"6/15/2000","Sell","Union Pacific Railroad","UNP","Union Pacific Railroad","30 shares @ 40.56266667","-30","-1,208.83","1,208.83","z Ameritrade IRA"
﻿,,"6/15/2000","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"15.00","z Ameritrade IRA"
﻿,,"6/16/2000","Sell","Voice Stream","VSTR","Voice Stream","10 shares @ 135.50","-10","-1,346.95","1,346.95","z Ameritrade IRA"
﻿,,"6/21/2000","Buy","Voice Stream","VSTR","Voice Stream","15 shares @ 133.37533333","15","2,008.63","-2,008.63","z Ameritrade IRA"
﻿,,"7/3/2000","Payment/Deposit","",,,"Transfer",,,"3.46","z Ameritrade IRA"
﻿,,"7/3/2000","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"26.00","z Ameritrade IRA"
﻿,,"7/10/2000","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"96.00","z Ameritrade IRA"
﻿,,"7/12/2000","Sell","Voice Stream","VSTR","Voice Stream","15 shares @ 141.87533333","-15","-2,120.05","2,120.05","z Ameritrade IRA"
﻿,,"7/17/2000","Buy","HNC Software","HNCS","HNC Software","30 shares @ 59.625","30","1,796.75","-1,796.75","z Ameritrade IRA"
﻿,,"7/21/2000","Sell","CSX Corp","CSX","CSX Corp","50 shares @ 23.00","-50","-1,141.96","1,141.96","z Ameritrade IRA"
﻿,,"7/21/2000","Sell","Microsoft Corp","MSFT","Microsoft Corp","20 shares @ 72.0625","-20","-1,433.20","1,433.20","z Ameritrade IRA"
﻿,,"7/21/2000","Sell","AT&T","T","AT&T","50 shares @ 33.6876","-50","-1,676.32","1,676.32","z Ameritrade IRA"
﻿,,"7/31/2000","Payment/Deposit","",,,"Transfer",,,"2.33","z Ameritrade IRA"
﻿,,"8/1/2000","Dividend Income","AT&T","T","AT&T","Investments:Dividend Income",,,"11.00","z Ameritrade IRA"
﻿,,"8/7/2000","Buy","Voice Stream","VSTR","Voice Stream","30 shares @ 124.56266667","30","3,744.88","-3,744.88","z Ameritrade IRA"
﻿,,"8/25/2000","Payment/Deposit","",,"Transer To Ameritrade","Transfer:[Onyx 401K]",,,"10,483.30","z Ameritrade IRA"
﻿,,"8/28/2000","Payment/Deposit","",,,"Transfer",,,"7.51","z Ameritrade IRA"
﻿,,"8/29/2000","Buy","RARE MEDIUM GRP","RRRR","RARE MEDIUM GRP","200 shares @ 11.375","200","2,283.00","-2,283.00","z Ameritrade IRA"
﻿,,"8/30/2000","Buy","RARE MEDIUM GRP","RRRR","RARE MEDIUM GRP","300 shares @ 10.125","300","3,045.50","-3,045.50","z Ameritrade IRA"
﻿,,"9/11/2000","Buy","BreezeComm","BRZE","BreezeComm","100 shares @ 38.00","100","3,808.00","-3,808.00","z Ameritrade IRA"
﻿,,"9/12/2000","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"29.00","z Ameritrade IRA"
﻿,,"10/2/2000","Payment/Deposit","",,,"Transfer",,,"16.56","z Ameritrade IRA"
﻿,,"10/2/2000","Buy","HNC Software","HNCS","HNC Software","120 shares @ 16.75","120","2,018.00","-2,018.00","z Ameritrade IRA"
﻿,,"10/2/2000","Buy","RETK","RETK","RETK","99 shares","99",,"0.00","z Ameritrade IRA"
﻿,,"10/2/2000","Sell","RETK","RETK","RETK","99 shares @ 52.59373737","-99","-5,198.60","5,198.60","z Ameritrade IRA"
﻿,,"10/2/2000","Stock Split","RETK","RETK","RETK","1 for 1 split","0.00",,"0.00","z Ameritrade IRA"
﻿,,"10/2/2000","Dividend Income","Union Pacific Railroad","UNP","Union Pacific Railroad","Investments:Dividend Income",,,"20.00","z Ameritrade IRA"
﻿,,"10/10/2000","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"106.00","z Ameritrade IRA"
﻿,,"10/13/2000","Buy","Air Tran","AAIR","Air Tran","200 shares @ 4.125","200","833.00","-833.00","z Ameritrade IRA"
﻿,,"10/18/2000","Buy","HNC Software","HNCS","HNC Software","100 shares @ 13.375","100","1,345.50","-1,345.50","z Ameritrade IRA"
﻿,,"10/20/2000","Buy","BreezeComm","BRZE","BreezeComm","100 shares @ 22.00","100","2,208.00","-2,208.00","z Ameritrade IRA"
﻿,,"10/30/2000","Payment/Deposit","",,,"Transfer",,,"10.37","z Ameritrade IRA"
﻿,,"10/31/2000","Sell","HNC Software","HNCS","HNC Software","300 shares @ 20.0625","-300","-6,010.54","6,010.54","z Ameritrade IRA"
﻿,,"11/1/2000","Buy","BreezeComm","BRZE","BreezeComm","100 shares @ 20.875","100","2,095.50","-2,095.50","z Ameritrade IRA"
﻿,,"11/21/2000","Buy","CSX Corp","CSX","CSX Corp","100 shares @ 25.25","100","2,533.00","-2,533.00","z Ameritrade IRA"
﻿,,"11/27/2000","Payment/Deposit","",,,"Transfer",,,"11.04","z Ameritrade IRA"
﻿,,"12/12/2000","Dividend Income","3M Corp","MMM","3M Corp","Investments:Dividend Income",,,"29.00","z Ameritrade IRA"
﻿,,"12/22/2000","Add Shares","Janus Twenty","JAVLX","Janus Twenty","1.412 shares","1.412",,"0.00","z Ameritrade IRA"
