Investing Report Created: 2023-08-12 08:18:44 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"2/9/2018","Buy","APPLE INC COM","AAPL","APPLE INC COM","100 shares @ 156.00","100","15,606.95","-15,606.95","Ameritrade IRA"
﻿,,"5/17/2018","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"73.00","Ameritrade IRA"
﻿,,"8/16/2018","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"73.00","Ameritrade IRA"
﻿,,"11/15/2018","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"73.00","Ameritrade IRA"
﻿,,"2/14/2019","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"73.00","Ameritrade IRA"
﻿,,"5/16/2019","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"77.00","Ameritrade IRA"
﻿,,"8/15/2019","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"77.00","Ameritrade IRA"
﻿,,"11/14/2019","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"77.00","Ameritrade IRA"
﻿,,"2/13/2020","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"77.00","Ameritrade IRA"
﻿,,"5/14/2020","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"82.00","Ameritrade IRA"
﻿,,"8/13/2020","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"82.00","Ameritrade IRA"
﻿,,"8/31/2020","Stock Split","APPLE INC COM","AAPL","APPLE INC COM","4 for 1 split","300",,"0.00","Ameritrade IRA"
﻿,,"11/12/2020","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"82.00","Ameritrade IRA"
﻿,,"2/11/2021","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"82.00","Ameritrade IRA"
﻿,,"5/13/2021","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"88.00","Ameritrade IRA"
﻿,,"8/12/2021","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"88.00","Ameritrade IRA"
﻿,,"11/11/2021","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"88.00","Ameritrade IRA"
﻿,,"2/10/2022","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"88.00","Ameritrade IRA"
﻿,,"5/12/2022","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"92.00","Ameritrade IRA"
﻿,,"8/11/2022","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"92.00","Ameritrade IRA"
﻿,,"11/10/2022","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"92.00","Ameritrade IRA"
﻿,,"2/16/2023","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"92.00","Ameritrade IRA"
﻿,,"5/18/2023","Dividend Income","APPLE INC COM","AAPL","APPLE INC COM","Investments:Dividend Income",,,"96.00","Ameritrade IRA"
﻿﻿Total Inflows:,,,,,,,,,,1515215.74
Total Outflows:,,,,,,,,,,-1486946.53
Net Total:,  28269.21
