Investing Report Created: 2023-09-09 09:22:07 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"3/11/1999","Payment/Deposit","",,,"Transfer",,,"18,067.76","z Ameritrade IRA"
﻿,,"3/19/1999","Buy","Microsoft Corp","MSFT","Microsoft Corp","10 shares @ 169.938","10","1,712.38","-1,712.38","z Ameritrade IRA"
﻿,,"3/24/1999","Buy","Microsoft Corp","MSFT","Microsoft Corp","10 shares @ 164.00","10","1,653.00","-1,653.00","z Ameritrade IRA"
﻿,,"3/29/1999","Stock Split","Microsoft Corp","MSFT","Microsoft Corp","2 for 1 split","20",,"0.00","z Ameritrade IRA"
﻿,,"10/25/1999","Sell","Microsoft Corp","MSFT","Microsoft Corp","20 shares @ 91.375","-20","-1,819.43","1,819.43","z Ameritrade IRA"
﻿,,"7/21/2000","Sell","Microsoft Corp","MSFT","Microsoft Corp","20 shares @ 72.0625","-20","-1,433.20","1,433.20","z Ameritrade IRA"
﻿,,"6/24/2016","Buy","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 50.00","100","5,009.99","-5,009.99","z Ameritrade IRA"
﻿,,"6/27/2016","Buy","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 48.40","100","4,849.99","-4,849.99","z Jane IRA"
﻿,,"9/8/2016","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"36.00","z Ameritrade IRA"
﻿,,"9/8/2016","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"36.00","z Jane IRA"
﻿,,"12/8/2016","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Ameritrade IRA"
﻿,,"12/8/2016","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Jane IRA"
﻿,,"3/9/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Ameritrade IRA"
﻿,,"3/9/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Jane IRA"
﻿,,"6/8/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Ameritrade IRA"
﻿,,"6/8/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Jane IRA"
﻿,,"9/14/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Ameritrade IRA"
﻿,,"9/14/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"39.00","z Jane IRA"
﻿,,"12/14/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Ameritrade IRA"
﻿,,"12/14/2017","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Jane IRA"
﻿,,"3/8/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Ameritrade IRA"
﻿,,"3/8/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Jane IRA"
﻿,,"6/14/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Ameritrade IRA"
﻿,,"6/14/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Jane IRA"
﻿,,"9/13/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Ameritrade IRA"
﻿,,"9/13/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"42.00","z Jane IRA"
﻿,,"12/13/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Ameritrade IRA"
﻿,,"12/13/2018","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Jane IRA"
﻿,,"3/14/2019","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Ameritrade IRA"
﻿,,"3/14/2019","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Jane IRA"
﻿,,"6/13/2019","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Ameritrade IRA"
﻿,,"6/13/2019","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"46.00","z Jane IRA"
