Investing Report Created: 2023-06-17 07:27:43 -0400

,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"1/3/2023","Buy","FIDELITY CAPITAL & INCOME","FAGIX","FIDELITY CAPITAL & INCOME","1,754.829 shares @ 9.03999763","1,754.829","15,863.65","-15,863.65","Fidelity IRA"
﻿,,"1/3/2023","Sell","FIDELITY FOUR IN ONE INDEX","FFNOX","FIDELITY FOUR IN ONE INDEX","336.665 shares @ 47.11998574","-336.665","-15,863.65","15,863.65","Fidelity IRA"
﻿,,"1/6/2023","Dividend Income","PEPSICO INC","PEP","PEPSICO INC","Investments:Dividend Income",,,"230.00","Fidelity IRA"
﻿,,"1/10/2023","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"188.00","Jane IRA"
﻿,,"1/10/2023","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"282.00","Ameritrade IRA"
﻿,,"1/10/2023","Dividend Income","Altria Group","MO","Altria Group","Investments:Dividend Income",,,"752.00","Fidelity IRA"
﻿,,"1/11/2023","Sell","Schwab S&P 500 Index Fund Select","SWPPX","Schwab S&P 500 Index Fund Select","223.12 shares @ 60.77998387","-223.12","-13,561.23","13,561.23","Ameritrade IRA"
﻿,,"1/11/2023","Dividend Income","PHILIP MORRIS CO INC","PM","PHILIP MORRIS CO INC","Investments:Dividend Income",,,"254.00","Ameritrade IRA"
﻿,,"1/12/2023","Buy","Jensen Quality Growth Fund Cl J","JENSX","Jensen Quality Growth Fund Cl J","241.69 shares @ 56.11001696","241.69","13,561.23","-13,561.23","Ameritrade IRA"
﻿,,"1/12/2023","Buy","Balanced",,"Balanced","3.565271 shares @ 50.56838597","3.565271","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/12/2023","Buy","Large Cap Index",,"Large Cap Index","1.77551 shares @ 101.54265535","1.77551","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/12/2023","Buy","Small-Mid Cap Index",,"Small-Mid Cap Index","12.894378 shares @ 13.98206257","12.894378","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/12/2023","Buy","International Equity Index",,"International Equity Index","15.699763 shares @ 11.48297589","15.699763","180.28","-180.28","Home Depot 401(k)"
﻿,,"1/12/2023","Payment/Deposit","",,"Home Depot","401k",,,"519.23","Home Depot 401(k)"
﻿,,"1/12/2023","Payment/Deposit","",,"Home Depot","ESPP",,,"634.62","HD ESPP"
﻿,,"1/12/2023","Payment/Deposit","",,"Home Depot","Transfer:[USAA CLASSIC CHECKING]",,,"201.92","Home Depot 401(k)"
﻿,,"1/13/2023","Dividend Income","Mondelez International Inc","MDLZ","Mondelez International Inc","Investments:Dividend Income",,,"65.45","Jane IRA"
﻿,,"1/13/2023","Dividend Income","Mondelez International Inc","MDLZ","Mondelez International Inc","Investments:Dividend Income",,,"53.13","Ameritrade IRA"
﻿,,"1/13/2023","Dividend Income","Mondelez International Inc","MDLZ","Mondelez International Inc","Investments:Dividend Income",,,"77.00","Fidelity IRA"
﻿,,"1/19/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.365 shares @ 11.53424658","0.365","4.21","0.00","Jane IRA"
﻿,,"1/19/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.656 shares @ 11.52173913","1.656","19.08","0.00","Ameritrade IRA"
﻿,,"1/25/2023","Dividend Income","CISCO SYS INC COM","CSCO","CISCO SYS INC COM","Investments:Dividend Income",,,"76.00","Ameritrade IRA"
﻿,,"1/25/2023","Dividend Income","CISCO SYS INC COM","CSCO","CISCO SYS INC COM","Investments:Dividend Income",,,"38.00","Fidelity IRA"
﻿,,"1/26/2023","Payment/Deposit","",,"Home Depot","401k",,,"519.23","Home Depot 401(k)"
﻿,,"1/26/2023","Payment/Deposit","",,"Home Depot","ESPP",,,"634.62","HD ESPP"
﻿,,"1/26/2023","Payment/Deposit","",,"Home Depot","Transfer:[USAA CLASSIC CHECKING]",,,"201.92","Home Depot 401(k)"
﻿,,"1/26/2023","Buy","Balanced",,"Balanced","3.523415 shares @ 51.16910724","3.523415","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/26/2023","Buy","Large Cap Index",,"Large Cap Index","1.74127 shares @ 103.53937069","1.74127","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/26/2023","Buy","Small-Mid Cap Index",,"Small-Mid Cap Index","12.57133 shares @ 14.34136245","12.57133","180.29","-180.29","Home Depot 401(k)"
﻿,,"1/26/2023","Buy","International Equity Index",,"International Equity Index","15.256231 shares @ 11.81681111","15.256231","180.28","-180.28","Home Depot 401(k)"
﻿,,"1/31/2023","Interest Income","MMDA1","MMDA1","MMDA1","Investments:Interest Income",,,"0.43","Ameritrade IRA"
﻿,,"1/31/2023","Interest Income","MMDA1","MMDA1","MMDA1","Investments:Interest Income",,,"4.18","Jane IRA"
﻿,,"1/31/2023","Reinvest Dividend","FIDELITY CAPITAL & INCOME","FAGIX","FIDELITY CAPITAL & INCOME","47.214 shares @ 9.34998094","47.214","441.45","0.00","Fidelity IRA"
﻿,,"1/31/2023","Reinvest Dividend","FIDELITY MULTI-ASSET INCOME FUND","FMSDX","FIDELITY MULTI-ASSET INCOME FUND","1.196 shares @ 13.17725753","1.196","15.76","0.00","Fidelity IRA"
﻿,,"1/31/2023","Dividend Income","FIDELITY CASH RESERVES","FDRXX","FIDELITY CASH RESERVES","Investments:Dividend Income",,,"8.45","Fidelity IRA"
﻿,,"2/1/2023","Dividend Income","AT&T (T)","T","AT&T (T)","Investments:Dividend Income",,,"222.00","Ameritrade IRA"
﻿,,"2/1/2023","Dividend Income","BRISTOL MYERS SQUIBB CO COM","BMY","BRISTOL MYERS SQUIBB CO COM","Investments:Dividend Income",,,"171.00","Ameritrade IRA"
﻿,,"2/1/2023","Dividend Income","AT&T (T)","T","AT&T (T)","Investments:Dividend Income",,,"27.75","Jane IRA"
﻿,,"2/1/2023","Dividend Income","BRISTOL MYERS SQUIBB CO COM","BMY","BRISTOL MYERS SQUIBB CO COM","Investments:Dividend Income",,,"57.00","Jane IRA"
﻿,,"2/1/2023","Dividend Income","AT&T (T)","T","AT&T (T)","Investments:Dividend Income",,,"277.50","Fidelity IRA"
﻿,,"2/1/2023","Dividend Income","BRISTOL MYERS SQUIBB CO COM","BMY","BRISTOL MYERS SQUIBB CO COM","Investments:Dividend Income",,,"171.00","Fidelity IRA"
﻿,,"2/9/2023","Payment/Deposit","",,"Home Depot","401k",,,"519.23","Home Depot 401(k)"
﻿,,"2/9/2023","Payment/Deposit","",,"Home Depot","ESPP",,,"634.62","HD ESPP"
﻿,,"2/9/2023","Payment/Deposit","",,"Home Depot","Transfer:[USAA CLASSIC CHECKING]",,,"201.92","Home Depot 401(k)"
